source_prefix	doid	mondo	efo	mesh	ncit	orphanet	orphanet.ordo	umls	omim	omim.ps	gard	icd10	icd10cm	icd10pcs	icd11	icd11.code	icd9	icd9cm	icdo
doid	14372	11773	1296	714	5185	2696	0	8162	5910	62	2136	11	3617	0	2	0	11	2225	488
mondo	11773	30086	1681	909	7422	10301	0	20841	10027	597	10732	18	1713	0	4138	0	4417	5	725
efo	1296	1681	2126	440	1221	408	0	1719	323	25	290	525	319	0	410	0	1194	6	62
mesh	714	909	440	3178	407	207	0	2225	16	2	0	2	197	0	0	0	0	0	0
ncit	5185	7422	1221	407	20522	759	0	19779	218	31	7	9	517	0	0	0	0	2	0
orphanet	2696	10301	408	207	759	15066	0	9204	11468	55	48	7850	206	0	1	0	5	3	1
orphanet.ordo	0	0	0	0	0	0	15590	0	0	0	0	0	0	0	0	0	0	0	0
umls	8162	20841	1719	2225	19779	9204	0	189003	13419	68	9	5668	25266	0	0	0	0	9005	0
omim	5910	10027	323	16	218	11468	0	13419	15261	0	5	0	47	0	0	0	0	0	0
omim.ps	62	597	25	2	31	55	0	68	0	590	2	0	8	0	0	0	0	1	0
gard	2136	10732	290	0	7	48	0	9	5	2	6109	0	2	0	0	0	0	2	0
icd10	11	18	525	2	9	7850	0	5668	0	0	0	2345	10	0	0	0	0	0	0
icd10cm	3617	1713	319	197	517	206	0	25266	47	8	2	10	21709	0	0	0	0	2	0
icd10pcs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd11	2	4138	410	0	0	1	0	0	0	0	0	0	0	0	71175	0	0	0	0
icd11.code	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icd9	11	4417	1194	0	0	5	0	0	0	0	0	0	0	0	0	0	3963	0	0
icd9cm	2225	5	6	0	2	3	0	9005	0	1	2	0	2	0	0	0	0	9134	0
icdo	488	725	62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	797
