source_prefix	ncbigene	hgnc	mgi	rgd	cgnc	wormbase	flybase	sgd	omim	civic.gid	umls	ncit	wikidata
ncbigene	59499014	43842	111824	0	26069	0	0	0	18478	592	0	0	788061
hgnc	43842	44071	0	0	0	0	0	0	17396	0	0	5978	43557
mgi	111824	0	737779	0	0	0	0	0	0	0	0	0	0
rgd	0	0	0	61335	0	0	0	0	0	0	0	0	0
cgnc	26069	0	0	0	26075	0	0	0	0	0	0	0	0
wormbase	0	0	0	0	0	0	0	0	0	0	0	0	0
flybase	0	0	0	0	0	0	17870	0	0	0	0	0	0
sgd	0	0	0	0	0	0	0	6600	0	0	0	0	0
omim	18478	17396	0	0	0	0	0	0	27198	0	0	0	25908
civic.gid	592	0	0	0	0	0	0	0	0	890	0	0	491
umls	0	0	0	0	0	0	0	0	0	0	1	0	0
ncit	0	5978	0	0	0	0	0	0	0	0	0	12711	0
wikidata	788061	43557	0	0	0	0	0	0	25908	491	0	0	797967
