source_prefix	mesh	efo	cellosaurus	ccle	depmap	bto	cl	clo	ncit	umls
mesh	635	19	556	16	26	86	86	112	15	635
efo	19	89	4995	646	316	498	19	1023	5	12
cellosaurus	556	4995	148681	557	1901	2417	1	34150	68564	14486
ccle	16	646	557	1061	1535	125	0	331	178	178
depmap	26	316	1901	1535	1719	132	0	350	361	361
bto	86	498	2417	125	132	6511	329	599	412	410
cl	86	19	1	0	0	329	2739	1	19	14
clo	112	1023	34150	331	350	599	1	39080	2837	2828
ncit	15	5	68564	178	361	412	19	2837	502	2492
umls	635	12	14486	178	361	410	14	2828	2492	6057
